year,age,sex,n_exacerbations
2007,65,M,30
2007,66,F,53
2007,66,M,25
2007,67,F,57
2007,67,M,15
2007,68,F,69
2007,68,M,14
2007,69,F,40
2007,69,M,24
2007,70,F,50
2007,70,M,19
2007,71,F,64
2007,71,M,10
2007,72,F,35
2007,72,M,15
2007,73,F,42
2007,73,M,17
2007,74,F,35
2007,74,M,13
2007,75,F,52
2007,75,M,21
2007,76,F,46
2007,76,M,14
2007,77,F,63
2007,77,M,10
2007,78,F,30
2007,78,M,15
2007,79,F,41
2007,79,M,25
2007,80,F,42
2007,80,M,23
2007,81,F,41
2007,81,M,15
2007,82,F,53
2007,82,M,24
2007,83,F,44
2007,83,M,4
2007,84,F,55
2007,84,M,16
2007,85,F,34
2007,85,M,13
2007,86,F,34
2007,86,M,15
2007,87,F,38
2007,87,M,5
2007,88,F,26
2007,88,M,1
2007,89,F,16
2007,89,M,3
2007,90,F,15
2007,90,M,1
2007,91,F,22
2007,91,M,2
2007,92,F,14
2007,92,M,1
2007,93,F,9
2007,93,M,1
2007,94,F,5
2007,94,M,0
2007,95,F,2
2007,95,M,0
2007,96,F,7
2007,96,M,1
2007,97,F,0
2007,97,M,0
2007,98,F,1
2007,98,M,0
2007,99,F,3
2007,99,M,0
2007,100,F,5
2007,100,M,1
2007,101,F,0
2007,101,M,0
2007,102,F,0
2007,102,M,0
2007,103,F,0
2007,103,M,0
2007,104,F,0
2007,104,M,0
